,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Generation
0,41,Yes,Sales,1,2,Life Sciences,2,Female,94,3,Sales Executive,4,Single,5993,8,Yes,11,1,80,0,8,0,1,6,4,0,5,Gen X
1,49,No,Research & Development,8,1,Life Sciences,3,Male,61,2,Research Scientist,2,Married,5130,1,No,23,4,80,1,10,3,3,10,7,1,7,Gen X
2,37,Yes,Research & Development,2,2,Other,4,Male,92,2,Laboratory Technician,3,Single,2090,6,Yes,15,2,80,0,7,3,3,0,0,0,0,Millenials
3,33,No,Research & Development,3,4,Life Sciences,4,Female,56,3,Research Scientist,3,Married,2909,1,Yes,11,3,80,0,8,3,3,8,7,3,0,Millenials
4,27,No,Research & Development,2,1,Medical,1,Male,40,3,Laboratory Technician,2,Married,3468,9,No,12,4,80,1,6,3,3,2,2,2,2,Millenials
5,32,No,Research & Development,2,2,Life Sciences,4,Male,79,3,Laboratory Technician,4,Single,3068,0,No,13,3,80,0,8,2,2,7,7,3,6,Millenials
6,59,No,Research & Development,3,3,Medical,3,Female,81,4,Laboratory Technician,1,Married,2670,4,Yes,20,1,80,3,12,3,2,1,0,0,0,Baby Boomers
7,30,No,Research & Development,24,1,Life Sciences,4,Male,67,3,Laboratory Technician,3,Divorced,2693,1,No,22,2,80,1,1,2,3,1,0,0,0,Millenials
8,38,No,Research & Development,23,3,Life Sciences,4,Male,44,2,Manufacturing Director,3,Single,9526,0,No,21,2,80,0,10,2,3,9,7,1,8,Millenials
9,36,No,Research & Development,27,3,Medical,3,Male,94,3,Healthcare Representative,3,Married,5237,6,No,13,2,80,2,17,3,2,7,7,7,7,Millenials
10,35,No,Research & Development,16,3,Medical,1,Male,84,4,Laboratory Technician,2,Married,2426,0,No,13,3,80,1,6,5,3,5,4,0,3,Millenials
11,29,No,Research & Development,15,2,Life Sciences,4,Female,49,2,Laboratory Technician,3,Single,4193,0,Yes,12,4,80,0,10,3,3,9,5,0,8,Millenials
12,31,No,Research & Development,26,1,Life Sciences,1,Male,31,3,Research Scientist,3,Divorced,2911,1,No,17,4,80,1,5,1,2,5,2,4,3,Millenials
13,34,No,Research & Development,19,2,Medical,2,Male,93,3,Laboratory Technician,4,Divorced,2661,0,No,11,3,80,1,3,2,3,2,2,1,2,Millenials
14,28,Yes,Research & Development,24,3,Life Sciences,3,Male,50,2,Laboratory Technician,3,Single,2028,5,Yes,14,2,80,0,6,4,3,4,2,0,3,Millenials
